Model,K,Silhouette,DBI,Purity,ARI,Min%,Max%,Balanced
UMAP,5,0.3853999972343445,1.09,0.3639,0.0314,14.3,23.6,✅
UMAP,6,0.4049000144004822,0.9683,0.3664,0.0321,13.6,21.8,✅
UMAP,7,0.34599998593330383,1.0486,0.3667,0.0219,10.9,18.1,✅
UMAP,8,0.3353999853134155,1.0771,0.3657,0.0208,10.5,16.5,✅
UMAP,9,0.3352000117301941,1.069,0.3663,0.019,6.9,15.9,✅
UMAP,10,0.3450999855995178,1.0527,0.3664,0.0166,3.4,16.3,✅
UMAP,11,0.33009999990463257,1.0852,0.3634,0.0229,3.6,13.2,✅
UMAP,12,0.3133000135421753,1.1208,0.3682,0.0212,3.5,11.4,✅
SVD,5,0.0333,3.6019,0.3731,0.0346,12.1,24.3,✅
SVD,6,0.0322,3.4132,0.3653,0.0329,10.3,20.8,✅
SVD,7,0.0318,3.3026,0.3633,0.0266,8.6,18.7,✅
SVD,8,0.0316,3.3762,0.362,0.0262,5.5,17.3,✅
SVD,9,0.0284,3.3784,0.3691,0.0202,4.6,17.8,✅
SVD,10,0.0225,3.4177,0.3736,0.0247,3.5,14.4,✅
SVD,11,0.0211,3.3489,0.3702,0.0267,3.0,13.8,✅
SVD,12,0.0233,3.3649,0.381,0.0285,3.0,12.1,⚠️
